label,left_knee,left_hip,right_hip,right_knee
bas,111.8078133385663,106.47869395457411,169.32115635705054,168.45726254620453
bas,114.16573875655646,109.00195985053793,169.39916181862952,169.0527494120613
bas,114.89316684422954,109.75532447693956,168.1844934233231,169.4901404228117
bas,115.6212861294239,109.36929648159594,165.61212845645306,166.26359907754392
bas,120.75260772078852,115.75414673014099,167.40894126429373,168.15661481468229
bas,120.31712574523313,114.64977602450858,167.63624730631972,168.1953229706029
bas,124.61082758056781,119.52383979349347,169.49620496650374,169.53230965355587
bas,125.60571496784439,120.92863483482095,170.2495770244726,169.01198506857935
bas,126.15895634012605,123.14551547049126,171.49822297400684,170.11889059102893
milieu,129.98381400008896,126.25572736894772,171.14158954060588,169.9663371281942
milieu,129.09703373406916,125.92623722809725,170.41181345598392,169.11931162160303
milieu,133.63580395459752,131.09284568336008,174.36993494192063,171.74615648657624
milieu,132.00126497592618,128.8596280312659,170.94575575964672,169.0207113250858
milieu,134.5582145968489,132.28581210979385,168.34723607524919,166.59065713420466
milieu,133.18420521831942,130.91887013884238,168.60084860076734,166.5921196422335
milieu,133.68059117341377,130.30802950235991,167.8112058230019,165.6416785215957
milieu,135.75829861505818,131.8539236575167,169.99738060805623,166.95061060739474
milieu,138.43129014648613,135.90926993520242,169.39185254299497,165.18912443055723
milieu,138.43733023776713,136.04164113082885,168.9317880102196,164.73909866529712
milieu,138.3631910137407,135.28614152373717,170.59606382467177,167.33291624345713
milieu,141.29077908768477,137.10320925670888,170.29430114515733,167.70842712010463
milieu,141.13974134012116,137.80763695313777,171.68755401769988,169.11894522122913
milieu,144.70197578895747,141.67240453395513,171.75506833612087,167.54458387559154
milieu,143.51184811092224,141.03967340775688,172.96916535461847,169.42719262343851
milieu,143.84326573128163,141.88461120342882,172.77180571866162,167.52677190128048
milieu,148.19092789176764,145.78044651799533,173.55174214630117,168.91708944835509
milieu,147.3547352209251,147.11951337479508,175.9580401154137,171.70374755855693
milieu,149.8523529544459,148.2098193456266,175.7045018096065,170.84566786063826
milieu,151.5873992629756,150.21122687992064,176.69541592051112,172.32229066584244
milieu,151.0977773387916,150.14563622392095,176.65115999200341,171.23423398068076
milieu,152.75487229399056,152.31905167660105,176.8522937420689,169.80042479622546
milieu,153.06034330683016,152.85663856946738,177.61112236525426,170.04502142143537
milieu,153.73757052678798,152.6719155290609,175.6607728798243,168.70862709174307
milieu,155.7197449195051,154.1517928239879,176.82889899905834,169.39524035144007
milieu,156.6773854383573,155.04706305146442,177.0089500666032,169.34544231394608
milieu,156.63181568937114,155.31250213646214,176.92962381360593,171.25188898402683
milieu,156.8636183394312,155.85374815611289,176.9105740291144,170.11946123785123
milieu,158.34093081194342,158.9231673894313,179.68748234915495,172.22793087565682
milieu,158.9624602993463,159.36262503513777,179.70759085641495,172.32056843020428
milieu,160.67777507593635,160.72353432484877,179.36978110730732,172.63745793569885
milieu,162.95496411407962,162.35528160035156,179.071747688667,171.9950373528448
milieu,163.5564006702847,162.15763599379503,178.47457090424032,173.2182850217335
milieu,164.28597896316376,163.03294985459354,177.85906829956946,173.46960171157005
milieu,165.17837687709687,164.31654523997136,177.0775528422844,173.75511272181498
haut,166.35377528571277,165.14170197573014,176.3942234815686,173.95283091354278
haut,166.97267007284466,165.61214724106924,176.53121595465208,173.95442712503876
haut,167.13841316517704,165.82766459381094,175.71175493721577,174.83608592370848
haut,168.6943617927318,167.23262605407194,175.54333787366406,174.74668412906286
haut,169.83463213946814,167.68966703841448,175.20584313584277,174.60455382545587
haut,171.5205980594311,168.7233172517785,174.97060652624913,174.6555179859163
haut,171.96234772329584,169.70261509787312,174.4371983657919,174.2546146101867
haut,173.59429670813782,171.06174204613117,174.11864986408744,174.1197110236506
haut,172.82331760010993,171.46689451169922,172.90658569827343,175.72956770086978
haut,173.858387946727,172.02939094234011,173.1930201692998,175.6033821270556
haut,174.41853741020708,171.63337690542522,172.89317417400716,175.77300241071939
haut,174.39706943182065,172.40991030763348,172.39403638432213,176.14044903111366
haut,175.00385046233856,172.98344232820236,172.5112341887901,176.06951203782765
haut,176.72653485406846,173.34872202371687,171.65949396058934,176.2685613768475
haut,176.5817290927354,172.89983184480755,172.0680981608192,175.40035034577892
haut,177.87710560065142,174.10599261293885,171.48188761682107,176.52832442796102
haut,176.56989262778123,173.70143355096957,171.43233294232192,176.44446966602106
haut,177.83572366583834,174.3762072991308,171.3569378153992,176.87806084476165
haut,178.0355840867844,174.61622193669473,170.8182819106809,177.41226058317983
haut,178.48094822486792,175.09181038239026,170.38422541297882,177.21196220899512
haut,179.08772843048575,175.54282372549486,170.24798223974875,177.80934782891893
haut,178.90681583957968,175.4075158551134,170.11943967563195,178.36335333332002
haut,178.77865594399242,175.04040043789536,170.7681720034492,177.62315593105617
haut,179.04857350509178,175.6451607877456,169.90353943977834,177.55373339786095
haut,179.27728176596617,176.36906136340605,169.84024504331836,177.75273784274768
haut,178.9215023161942,176.24948654371417,169.48060632483302,177.86537484840454
haut,178.86074809620948,175.8575747364091,169.30958652223882,179.1580525917099
haut,179.40323088124825,176.04538587871087,169.41537535919397,177.57095426827
haut,179.59867353471515,176.2003390976298,169.17343530669024,178.1024370383082
haut,178.7816392297356,175.87572956757418,169.86624678671015,176.88714830930093
haut,179.26730053094263,175.64719202289874,170.0309086998277,177.7124056887694
haut,178.95417424844337,175.41645807906852,169.92946279630803,177.21418309952597
haut,179.40164919335848,176.49240133883163,169.88096171364083,177.37325297507252
haut,178.37090656415725,175.51704527680232,169.50391347887344,177.19416780231768
haut,179.41241373565532,176.24553834751248,169.3422154536487,177.38575341305884
haut,179.12238550223836,176.08027130969884,169.3686164280192,177.5319093002893
haut,179.13688094383767,176.1354095868036,169.6210545612031,177.3212808407702
haut,178.41218224838346,175.90003042654124,169.6697192804003,177.55939968404775
haut,178.6165300310998,176.41261766672318,169.3139768573596,177.7129571986454
haut,179.12121482918047,176.41320199601293,169.26792947833368,177.60314697218146
haut,179.2763513540174,176.39641905693807,169.08787615699498,177.12339400952587
haut,178.77597045630387,175.83812442003182,169.62091071226712,176.64502253144283
haut,178.58138123941714,175.98413630319516,169.3778356897625,176.6705134409763
haut,179.08131584500435,176.31871177938962,169.15434007928997,178.05731514813945
haut,178.84867941891346,176.18974360107757,169.32943903533976,176.9199217202309
haut,179.1032836490134,176.14567097549653,169.22256024496477,177.92042301803588
haut,179.22234502175425,176.3082104542699,169.19845543530877,178.08190095612488
haut,179.5725028491864,176.29217091053434,169.25205005849656,176.81396978097985
haut,179.49714803284837,176.27082749880654,169.67809698831937,177.6164732619031
haut,179.0767281015522,176.4202283043506,169.1077998180302,177.77223365971065
haut,179.40793644680457,176.58344173678796,169.0621016219514,178.1883680195847
haut,178.98419976208933,176.45005531764264,169.10555858977523,178.03455588616183
haut,178.49878532556914,175.85814833824762,169.31288626270128,177.75231909357376
haut,177.95901773982965,175.3685378985838,169.67260900827173,176.93010776551282
haut,177.9935937140009,175.3627112071187,170.01574100643467,176.51213593715596
haut,178.60138872285268,175.29493479684652,169.678788676763,176.800242160097
haut,177.78411747750897,174.9048830188072,170.05933767039588,176.25080575197535
haut,177.91681461138162,174.6811691779681,170.46650770749878,176.8998926257719
haut,177.88517867102914,174.19924562770333,170.6711251330289,177.3646934715848
haut,177.83685728914887,174.13755469544665,170.17926950389287,177.06007271606146
haut,177.2826245175388,173.5323963953271,171.08974192143785,177.17605156558983
haut,176.0815988180416,171.97422873386833,171.70537206772087,177.09806770042547
haut,175.1205247058978,171.62881018636457,172.38413745935856,176.90923554107238
haut,172.69788589051632,169.49131123402586,173.58199461978307,173.0335724444488
haut,170.67996015894497,167.95467636424047,174.20512339906637,174.84666863109757
haut,169.75736116206707,167.3380302580016,175.2804014156945,174.15703694664404
haut,168.51901868180576,166.68080123990245,175.48647598943444,171.83793741073757
haut,165.95608513613664,165.45426419111186,175.4358313282112,171.8250702038493
haut,164.33755613414337,163.82601875404566,176.19158787541411,170.32927377064357
haut,164.26523262951164,163.27866486810166,176.9928752229827,170.03545328100438
milieu,161.60773918291122,161.89160401693516,177.3585030993327,170.26024247373766
milieu,161.5209641005512,161.88156711198573,177.3478951554861,170.35377371419924
milieu,161.79797619201364,161.00662987753603,179.20732861140704,168.506231736254
milieu,160.17581628307525,159.8477040731584,179.62213801538584,168.60155983949866
milieu,162.9700081965966,160.17795221052472,179.70091743782254,171.3966004409434
milieu,160.2658586564485,159.32196422623986,179.18944008032534,170.62051218803464
milieu,160.36269493538708,158.42529988564115,179.00594744389002,171.59686872951656
milieu,157.77608007235037,156.9202822284787,179.28637661426,170.38040928561645
milieu,156.9388115987413,156.36873423904035,178.1374069429796,168.35966696726615
milieu,153.7237198051487,153.88434245956722,177.80233567383863,168.9352152708524
milieu,154.0553178998893,153.8810226444631,177.64015945351434,168.83648779537532
milieu,150.8245512116445,151.05928664614058,177.16052621229113,167.98974793229377
milieu,148.96301793145128,149.72497671759814,176.47907925169622,168.99978534256292
milieu,147.9268584354705,148.38309902266013,176.45899469699572,169.343150201219
milieu,146.4063234550643,146.99326753381226,177.017322128426,169.85616031825202
milieu,147.37147189376964,146.2263472588161,176.72533182133307,170.59868343869528
milieu,146.38602603552775,146.44960322294935,176.51678704845148,168.4545444193395
milieu,147.05554362948163,145.48690760406328,174.254039241636,165.74596440825823
milieu,146.05269153706342,145.49966211396577,174.50779271143827,167.10980974975885
milieu,144.8873275753296,146.09245658878638,175.48384501478336,167.51107131586434
milieu,142.87111089089646,144.0745010613339,175.1231998472324,168.76985899439904
milieu,142.8052124669093,143.44713241400603,175.21611969966983,167.175699944811
milieu,142.94815316981618,143.324222876098,176.5788826910768,170.12016316938588
milieu,140.9981555308807,142.17693578609524,176.20096336746084,170.33488915088225
milieu,139.06211306406576,140.38909463323313,176.02489063616798,168.28742005389796
bas,141.68432419595555,142.4623457973572,177.22796242756942,170.77310623565376
bas,140.8066410396391,141.9282069038721,176.98133614167728,170.1746240395199
bas,140.71937681940318,141.90089817568082,178.18451814047663,171.17732174128793
bas,138.2851183044038,138.98406057583603,175.28138258880213,167.8012079665745
bas,137.782659320979,138.32080805031333,175.9409838538438,169.14964316439634
bas,137.207153985146,138.3171210769837,176.30844963244166,170.89894774690302
bas,136.3214038575953,138.10153122995627,178.1081971784629,172.20927141352405
bas,136.67899749810329,138.09585520597147,178.25422313586571,172.69028259733986
bas,134.0188785899195,135.79229869752535,177.28249690137955,171.7493968860616
bas,134.7876099773754,136.59098749767065,177.6313429123133,171.08862966299282
bas,133.49725644852936,133.9059878147483,178.62425063502823,172.0788676920593
bas,132.85851026012512,133.214713268554,179.4398549582696,173.1282635777432
bas,135.666922669992,134.50859670600516,174.4642182791608,168.62948533355376
bas,138.59296023223226,135.2217242566079,175.646082578371,169.8657364047976
bas,135.42140900257107,133.7314227132932,175.79364286499506,170.24995271144292
bas,130.72507815872837,129.56991452552472,179.40122057577454,172.92517330799026
bas,132.35739117264418,130.18070374732355,179.4422576144091,173.56847574708698
bas,132.49449775598637,131.26567170981915,177.57006450090032,172.27475851013145
bas,131.72847866936613,131.06992305669266,179.50721622583458,174.5802528662783
bas,130.29401162670533,130.2417184216376,178.56529847760598,176.30171202449668
bas,129.01397206828258,128.80982600036896,179.14489956910256,176.05751334852357
bas,130.7441716584161,129.19091906637493,179.2729962038288,175.28130673563234
bas,127.64745429152899,126.04477441203072,179.35986512185178,175.36065955083802
bas,127.98295293221824,124.70538623106359,174.5593831712918,171.66567999767085
bas,127.16462254659126,123.74939550531745,173.4866852467662,171.3216605849992
bas,126.0998417548867,124.38918019826669,173.08396449896654,171.12482238687866
bas,126.83443805253664,123.77530571567266,177.5449217316517,173.8774317158249
bas,127.5281772843295,124.94979018660243,176.75612808317382,173.4372246354074
bas,126.70604863796409,123.96756886131848,178.76086275588864,176.89729348580312
